drug_name,category
chlortalidone,"Sulfonamides, plain"
mefruside,"Sulfonamides, plain"
clofenamide,"Sulfonamides, plain"
metolazone,"Sulfonamides, plain"
meticrane,"Sulfonamides, plain"
xipamide,"Sulfonamides, plain"
indapamide,"Sulfonamides, plain"
clorexolone,"Sulfonamides, plain"
fenquizone,"Sulfonamides, plain"
"clorexolone, combinations with psycholeptics","Sulfonamides, plain"
quinethazone and potassium,Sulfonamides and potassium in combination
clopamide and potassium,Sulfonamides and potassium in combination
chlortalidone and potassium,Sulfonamides and potassium in combination
mefruside and potassium,Sulfonamides and potassium in combination
clofenamide and potassium,Sulfonamides and potassium in combination
mersalyl,Mercurial diuretics
theobromine,Xanthine derivatives
cicletanine,Other low-ceiling diuretics
furosemide,"Sulfonamides, plain"
bumetanide,"Sulfonamides, plain"
piretanide,"Sulfonamides, plain"
torasemide,"Sulfonamides, plain"
furosemide and potassium,Sulfonamides and potassium in combination
bumetanide and potassium,Sulfonamides and potassium in combination
etacrynic acid,Aryloxyacetic acid derivatives
tienilic acid,Aryloxyacetic acid derivatives
muzolimine,Pyrazolone derivatives
etozolin,Other high-ceiling diuretics
spironolactone,Aldosterone antagonists
potassium canrenoate,Aldosterone antagonists
canrenone,Aldosterone antagonists
eplerenone,Aldosterone antagonists
amiloride,Other potassium-sparing agents
triamterene,Other potassium-sparing agents
hydrochlorothiazide and potassium-sparing agents,Low-ceiling diuretics and potassium-sparing agents
trichlormethiazide and potassium-sparing agents,Low-ceiling diuretics and potassium-sparing agents
epitizide and potassium-sparing agents,Low-ceiling diuretics and potassium-sparing agents
altizide and potassium-sparing agents,Low-ceiling diuretics and potassium-sparing agents
mebutizide and potassium-sparing agents,Low-ceiling diuretics and potassium-sparing agents
chlortalidone and potassium-sparing agents,Low-ceiling diuretics and potassium-sparing agents
cyclopenthiazide and potassium-sparing agents,Low-ceiling diuretics and potassium-sparing agents
metolazone and potassium-sparing agents,Low-ceiling diuretics and potassium-sparing agents
bendroflumethiazide and potassium-sparing agents,Low-ceiling diuretics and potassium-sparing agents
butizide and potassium-sparing agents,Low-ceiling diuretics and potassium-sparing agents
furosemide and potassium-sparing agents,High-ceiling diuretics and potassium-sparing agents
bumetanide and potassium-sparing agents,High-ceiling diuretics and potassium-sparing agents
tolvaptan,Vasopressin antagonists
conivaptan,Vasopressin antagonists
isoxsuprine,2-amino-1-phenylethanol derivatives
buphenine,2-amino-1-phenylethanol derivatives
bamethan,2-amino-1-phenylethanol derivatives
phentolamine,Imidazoline derivatives
tolazoline,Imidazoline derivatives
nicotinic acid,Nicotinic acid and derivatives
nicotinyl alcohol (pyridylcarbinol),Nicotinic acid and derivatives
inositol nicotinate,Nicotinic acid and derivatives
ciclonicate,Nicotinic acid and derivatives
pentifylline,Purine derivatives
xantinol nicotinate,Purine derivatives
pentoxifylline,Purine derivatives
etofylline nicotinate,Purine derivatives
ergoloid mesylates,Ergot alkaloids
nicergoline,Ergot alkaloids
dihydroergocristine,Ergot alkaloids
"ergoloid mesylates, combinations",Ergot alkaloids
"dihydroergocristine, combinations",Ergot alkaloids
kallidinogenase,Enzymes
cyclandelate,Other peripheral vasodilators
phenoxybenzamine,Other peripheral vasodilators
vincamine,Other peripheral vasodilators
moxisylyte,Other peripheral vasodilators
bencyclane,Other peripheral vasodilators
vinburnine,Other peripheral vasodilators
suloctidil,Other peripheral vasodilators
buflomedil,Other peripheral vasodilators
naftidrofuryl,Other peripheral vasodilators
butalamine,Other peripheral vasodilators
visnadine,Other peripheral vasodilators
cetiedil,Other peripheral vasodilators
cinepazide,Other peripheral vasodilators
ifenprodil,Other peripheral vasodilators
azapetine,Other peripheral vasodilators
fasudil,Other peripheral vasodilators
fluorometholone,Corticosteroids
fluocortolone,Corticosteroids
fluocinolone acetonide,Corticosteroids
fluocinonide,Corticosteroids
tetracaine,Local anesthetics
benzocaine,Local anesthetics
cinchocaine,Local anesthetics
procaine,Local anesthetics
oxetacaine,Local anesthetics
pramocaine,Local anesthetics
diltiazem,Muscle relaxants
aluminium preparations,Other agents for treatment of hemorrhoids and anal fissures for topical use
"bismuth preparations, combinations",Other agents for treatment of hemorrhoids and anal fissures for topical use
"other preparations, combinations",Other agents for treatment of hemorrhoids and anal fissures for topical use
zinc preparations,Other agents for treatment of hemorrhoids and anal fissures for topical use
tribenoside,Other agents for treatment of hemorrhoids and anal fissures for topical use
organo-heparinoid,Heparins or heparinoids for topical use
sodium apolate,Heparins or heparinoids for topical use
pentosan polysulfate sodium,Heparins or heparinoids for topical use
"heparinoid, combinations",Heparins or heparinoids for topical use
monoethanolamine oleate,Sclerosing agents for local injection
polidocanol,Sclerosing agents for local injection
invert sugar,Sclerosing agents for local injection
sodium tetradecyl sulfate,Sclerosing agents for local injection
phenol,Sclerosing agents for local injection
"glucose, combinations",Sclerosing agents for local injection
calcium dobesilate,Other sclerosing agents
"calcium dobesilate, combinations",Other sclerosing agents
rutoside,Bioflavonoids
monoxerutin,Bioflavonoids
diosmin,Bioflavonoids
troxerutin,Bioflavonoids
hidrosmin,Bioflavonoids
"rutoside, combinations",Bioflavonoids
"diosmin, combinations",Bioflavonoids
"troxerutin, combinations",Bioflavonoids
naftazone,Other capillary stabilizing agents
hippocastani semen,Other capillary stabilizing agents
alprenolol,"Beta blocking agents, non-selective"
oxprenolol,"Beta blocking agents, non-selective"
pindolol,"Beta blocking agents, non-selective"
propranolol,"Beta blocking agents, non-selective"
timolol,"Beta blocking agents, non-selective"
sotalol,"Beta blocking agents, non-selective"
nadolol,"Beta blocking agents, non-selective"
mepindolol,"Beta blocking agents, non-selective"
carteolol,"Beta blocking agents, non-selective"
tertatolol,"Beta blocking agents, non-selective"
bopindolol,"Beta blocking agents, non-selective"
bupranolol,"Beta blocking agents, non-selective"
penbutolol,"Beta blocking agents, non-selective"
cloranolol,"Beta blocking agents, non-selective"
practolol,"Beta blocking agents, selective"
metoprolol,"Beta blocking agents, selective"
atenolol,"Beta blocking agents, selective"
acebutolol,"Beta blocking agents, selective"
betaxolol,"Beta blocking agents, selective"
bevantolol,"Beta blocking agents, selective"
bisoprolol,"Beta blocking agents, selective"
celiprolol,"Beta blocking agents, selective"
esmolol,"Beta blocking agents, selective"
epanolol,"Beta blocking agents, selective"
s-atenolol,"Beta blocking agents, selective"
nebivolol,"Beta blocking agents, selective"
talinolol,"Beta blocking agents, selective"
landiolol,"Beta blocking agents, selective"
labetalol,Alpha and beta blocking agents
carvedilol,Alpha and beta blocking agents
oxprenolol and thiazides,"Beta blocking agents, non-selective, and thiazides"
propranolol and thiazides,"Beta blocking agents, non-selective, and thiazides"
timolol and thiazides,"Beta blocking agents, non-selective, and thiazides"
sotalol and thiazides,"Beta blocking agents, non-selective, and thiazides"
nadolol and thiazides,"Beta blocking agents, non-selective, and thiazides"
"metipranolol and thiazides, combinations","Beta blocking agents, non-selective, and thiazides"
metoprolol and thiazides,"Beta blocking agents, selective, and thiazides"
atenolol and thiazides,"Beta blocking agents, selective, and thiazides"
acebutolol and thiazides,"Beta blocking agents, selective, and thiazides"
bevantolol and thiazides,"Beta blocking agents, selective, and thiazides"
bisoprolol and thiazides,"Beta blocking agents, selective, and thiazides"
nebivolol and thiazides,"Beta blocking agents, selective, and thiazides"
"metoprolol and thiazides, combinations","Beta blocking agents, selective, and thiazides"
labetalol and thiazides,Alpha and beta blocking agents and thiazides
oxprenolol and other diuretics,"Beta blocking agents, non-selective, and other diuretics"
pindolol and other diuretics,"Beta blocking agents, non-selective, and other diuretics"
bopindolol and other diuretics,"Beta blocking agents, non-selective, and other diuretics"
penbutolol and other diuretics,"Beta blocking agents, non-selective, and other diuretics"
metoprolol and other diuretics,"Beta blocking agents, selective, and other diuretics"
atenolol and other diuretics,"Beta blocking agents, selective, and other diuretics"
"atenolol and other diuretics, combinations","Beta blocking agents, selective, and other diuretics"
labetalol and other diuretics,Alpha and beta blocking agents and other diuretics
"timolol, thiazides and other diuretics","Beta blocking agents, non-selective, thiazides and other diuretics"
"atenolol, thiazides and other diuretics","Beta blocking agents, selective, thiazides and other diuretics"
metoprolol and felodipine,Beta blocking agents and calcium channel blockers
atenolol and nifedipine,Beta blocking agents and calcium channel blockers
bisoprolol and amlodipine,Beta blocking agents and calcium channel blockers
nebivolol and amlodipine,Beta blocking agents and calcium channel blockers
metoprolol and amlodipine,Beta blocking agents and calcium channel blockers
propranolol and other combinations,"Beta blocking agents, other combinations"
sotalol and acetylsalicylic acid,"Beta blocking agents, other combinations"
metoprolol and acetylsalicylic acid,"Beta blocking agents, other combinations"
bisoprolol and acetylsalicylic acid,"Beta blocking agents, other combinations"
metoprolol and ivabradine,"Beta blocking agents, other combinations"
carvedilol and ivabradine,"Beta blocking agents, other combinations"
amlodipine,Dihydropyridine derivatives
felodipine,Dihydropyridine derivatives
isradipine,Dihydropyridine derivatives
nicardipine,Dihydropyridine derivatives
nifedipine,Dihydropyridine derivatives
nimodipine,Dihydropyridine derivatives
nisoldipine,Dihydropyridine derivatives
nitrendipine,Dihydropyridine derivatives
lacidipine,Dihydropyridine derivatives
nilvadipine,Dihydropyridine derivatives
manidipine,Dihydropyridine derivatives
barnidipine,Dihydropyridine derivatives
lercanidipine,Dihydropyridine derivatives
cilnidipine,Dihydropyridine derivatives
benidipine,Dihydropyridine derivatives
clevidipine,Dihydropyridine derivatives
amlodipine and celecoxib,Dihydropyridine derivatives
"nifedipine, combinations",Dihydropyridine derivatives
mibefradil,Other selective calcium channel blockers with mainly vascular effects
verapamil,Phenylalkylamine derivatives
gallopamil,Phenylalkylamine derivatives
"verapamil, combinations",Phenylalkylamine derivatives
fendiline,Phenylalkylamine derivatives
bepridil,Phenylalkylamine derivatives
lidoflazine,Other non-selective calcium channel blockers
perhexiline,Other non-selective calcium channel blockers
nifedipine and diuretics,Calcium channel blockers and diuretics
amlodipine and diuretics,Calcium channel blockers and diuretics
captopril,"ACE inhibitors, plain"
enalapril,"ACE inhibitors, plain"
lisinopril,"ACE inhibitors, plain"
perindopril,"ACE inhibitors, plain"
ramipril,"ACE inhibitors, plain"
quinapril,"ACE inhibitors, plain"
benazepril,"ACE inhibitors, plain"
cilazapril,"ACE inhibitors, plain"
fosinopril,"ACE inhibitors, plain"
trandolapril,"ACE inhibitors, plain"
spirapril,"ACE inhibitors, plain"
delapril,"ACE inhibitors, plain"
moexipril,"ACE inhibitors, plain"
temocapril,"ACE inhibitors, plain"
zofenopril,"ACE inhibitors, plain"
imidapril,"ACE inhibitors, plain"
captopril and diuretics,ACE inhibitors and diuretics
enalapril and diuretics,ACE inhibitors and diuretics
lisinopril and diuretics,ACE inhibitors and diuretics
perindopril and diuretics,ACE inhibitors and diuretics
ramipril and diuretics,ACE inhibitors and diuretics
quinapril and diuretics,ACE inhibitors and diuretics
benazepril and diuretics,ACE inhibitors and diuretics
cilazapril and diuretics,ACE inhibitors and diuretics
fosinopril and diuretics,ACE inhibitors and diuretics
delapril and diuretics,ACE inhibitors and diuretics
moexipril and diuretics,ACE inhibitors and diuretics
zofenopril and diuretics,ACE inhibitors and diuretics
enalapril and lercanidipine,ACE inhibitors and calcium channel blockers
lisinopril and amlodipine,ACE inhibitors and calcium channel blockers
perindopril and amlodipine,ACE inhibitors and calcium channel blockers
ramipril and felodipine,ACE inhibitors and calcium channel blockers
enalapril and nitrendipine,ACE inhibitors and calcium channel blockers
ramipril and amlodipine,ACE inhibitors and calcium channel blockers
trandolapril and verapamil,ACE inhibitors and calcium channel blockers
delapril and manidipine,ACE inhibitors and calcium channel blockers
"perindopril, amlodipine and indapamide","ACE inhibitors, other combinations"
perindopril and bisoprolol,"ACE inhibitors, other combinations"
"ramipril, amlodipine and hydrochlorothiazide","ACE inhibitors, other combinations"
"perindopril, bisoprolol and amlodipine","ACE inhibitors, other combinations"
ramipril and bisoprolol,"ACE inhibitors, other combinations"
losartan,"Angiotensin II receptor blockers (ARBs), plain"
eprosartan,"Angiotensin II receptor blockers (ARBs), plain"
valsartan,"Angiotensin II receptor blockers (ARBs), plain"
irbesartan,"Angiotensin II receptor blockers (ARBs), plain"
tasosartan,"Angiotensin II receptor blockers (ARBs), plain"
candesartan,"Angiotensin II receptor blockers (ARBs), plain"
telmisartan,"Angiotensin II receptor blockers (ARBs), plain"
olmesartan medoxomil,"Angiotensin II receptor blockers (ARBs), plain"
azilsartan medoxomil,"Angiotensin II receptor blockers (ARBs), plain"
fimasartan,"Angiotensin II receptor blockers (ARBs), plain"
losartan and diuretics,Angiotensin II receptor blockers (ARBs) and diuretics
eprosartan and diuretics,Angiotensin II receptor blockers (ARBs) and diuretics
valsartan and diuretics,Angiotensin II receptor blockers (ARBs) and diuretics
irbesartan and diuretics,Angiotensin II receptor blockers (ARBs) and diuretics
candesartan and diuretics,Angiotensin II receptor blockers (ARBs) and diuretics
telmisartan and diuretics,Angiotensin II receptor blockers (ARBs) and diuretics
olmesartan medoxomil and diuretics,Angiotensin II receptor blockers (ARBs) and diuretics
azilsartan medoxomil and diuretics,Angiotensin II receptor blockers (ARBs) and diuretics
fimasartan and diuretics,Angiotensin II receptor blockers (ARBs) and diuretics
valsartan and amlodipine,Angiotensin II receptor blockers (ARBs) and calcium channel blockers
olmesartan medoxomil and amlodipine,Angiotensin II receptor blockers (ARBs) and calcium channel blockers
telmisartan and amlodipine,Angiotensin II receptor blockers (ARBs) and calcium channel blockers
irbesartan and amlodipine,Angiotensin II receptor blockers (ARBs) and calcium channel blockers
losartan and amlodipine,Angiotensin II receptor blockers (ARBs) and calcium channel blockers
candesartan and amlodipine,Angiotensin II receptor blockers (ARBs) and calcium channel blockers
valsartan and lercanidipine,Angiotensin II receptor blockers (ARBs) and calcium channel blockers
fimasartan and amlodipine,Angiotensin II receptor blockers (ARBs) and calcium channel blockers
"valsartan, amlodipine and hydrochlorothiazide","Angiotensin II receptor blockers (ARBs), other combinations"
valsartan and aliskiren,"Angiotensin II receptor blockers (ARBs), other combinations"
"olmesartan medoxomil, amlodipine and hydrochlorothiazide","Angiotensin II receptor blockers (ARBs), other combinations"
valsartan and sacubitril,"Angiotensin II receptor blockers (ARBs), other combinations"
valsartan and nebivolol,"Angiotensin II receptor blockers (ARBs), other combinations"
"candesartan, amlodipine and hydrochlorothiazide","Angiotensin II receptor blockers (ARBs), other combinations"
"irbesartan, amlodipine and hydrochlorothiazide","Angiotensin II receptor blockers (ARBs), other combinations"
remikiren,Renin-inhibitors
aliskiren,Renin-inhibitors
aliskiren and hydrochlorothiazide,Renin-inhibitors
aliskiren and amlodipine,Renin-inhibitors
"aliskiren, amlodipine and hydrochlorothiazide",Renin-inhibitors
simvastatin,HMG CoA reductase inhibitors
lovastatin,HMG CoA reductase inhibitors
pravastatin,HMG CoA reductase inhibitors
fluvastatin,HMG CoA reductase inhibitors
atorvastatin,HMG CoA reductase inhibitors
cerivastatin,HMG CoA reductase inhibitors
rosuvastatin,HMG CoA reductase inhibitors
pitavastatin,HMG CoA reductase inhibitors
clofibrate,Fibrates
bezafibrate,Fibrates
aluminium clofibrate,Fibrates
gemfibrozil,Fibrates
fenofibrate,Fibrates
simfibrate,Fibrates
ronifibrate,Fibrates
ciprofibrate,Fibrates
etofibrate,Fibrates
clofibride,Fibrates
choline fenofibrate,Fibrates
colestyramine,Bile acid sequestrants
colestipol,Bile acid sequestrants
colextran,Bile acid sequestrants
colesevelam,Bile acid sequestrants
niceritrol,Nicotinic acid and derivatives
nicofuranose,Nicotinic acid and derivatives
aluminium nicotinate,Nicotinic acid and derivatives
acipimox,Nicotinic acid and derivatives
"nicotinic acid, combinations",Nicotinic acid and derivatives
dextrothyroxine,Other lipid modifying agents
probucol,Other lipid modifying agents
tiadenol,Other lipid modifying agents
meglutol,Other lipid modifying agents
omega-3-triglycerides incl. other esters and acids,Other lipid modifying agents
magnesium pyridoxal 5-phosphate glutamate,Other lipid modifying agents
policosanol,Other lipid modifying agents
ezetimibe,Other lipid modifying agents
alipogene tiparvovec,Other lipid modifying agents
mipomersen,Other lipid modifying agents
lomitapide,Other lipid modifying agents
evolocumab,Other lipid modifying agents
alirocumab,Other lipid modifying agents
bempedoic acid,Other lipid modifying agents
inclisiran,Other lipid modifying agents
lovastatin and nicotinic acid,Combinations of various lipid modifying agents
simvastatin and ezetimibe,Combinations of various lipid modifying agents
pravastatin and fenofibrate,Combinations of various lipid modifying agents
simvastatin and fenofibrate,Combinations of various lipid modifying agents
atorvastatin and ezetimibe,Combinations of various lipid modifying agents
rosuvastatin and ezetimibe,Combinations of various lipid modifying agents
rosuvastatin and omega-3 fatty acids,Combinations of various lipid modifying agents
atorvastatin and omega-3 fatty acids,Combinations of various lipid modifying agents
rosuvastatin and fenofibrate,Combinations of various lipid modifying agents
bempedoic acid and ezetimibe,Combinations of various lipid modifying agents
simvastatin and acetylsalicylic acid,Lipid modifying agents in combination with other drugs
pravastatin and acetylsalicylic acid,Lipid modifying agents in combination with other drugs
atorvastatin and amlodipine,Lipid modifying agents in combination with other drugs
"simvastatin, acetylsalicylic acid and ramipril",Lipid modifying agents in combination with other drugs
rosuvastatin and acetylsalicylic acid,Lipid modifying agents in combination with other drugs
"atorvastatin, acetylsalicylic acid and ramipril",Lipid modifying agents in combination with other drugs
"rosuvastatin, amlodipine and lisinopril",Lipid modifying agents in combination with other drugs
atorvastatin and acetylsalicylic acid,Lipid modifying agents in combination with other drugs
rosuvastatin and amlodipine,Lipid modifying agents in combination with other drugs
rosuvastatin and valsartan,Lipid modifying agents in combination with other drugs
"atorvastatin, amlodipine and perindopril",Lipid modifying agents in combination with other drugs
"atorvastatin, acetylsalicylic acid and perindopril",Lipid modifying agents in combination with other drugs
"rosuvastatin, perindopril and indapamide",Lipid modifying agents in combination with other drugs
"rosuvastatin, amlodipine and perindopril",Lipid modifying agents in combination with other drugs
atorvastatin and perindopril,Lipid modifying agents in combination with other drugs
rosuvastatin and fimasartan,Lipid modifying agents in combination with other drugs
rosuvastatin and ramipril,Lipid modifying agents in combination with other drugs
"atorvastatin, amlodipine and ramipril",Lipid modifying agents in combination with other drugs
hachimycin,Antibiotics
pecilocin,Antibiotics
pyrrolnitrin,Antibiotics
griseofulvin,Antibiotics
econazole,Imidazole and triazole derivatives
chlormidazole,Imidazole and triazole derivatives
isoconazole,Imidazole and triazole derivatives
tiabendazole,Imidazole and triazole derivatives
tioconazole,Imidazole and triazole derivatives
ketoconazole,Imidazole and triazole derivatives
sulconazole,Imidazole and triazole derivatives
bifonazole,Imidazole and triazole derivatives
oxiconazole,Imidazole and triazole derivatives
fenticonazole,Imidazole and triazole derivatives
omoconazole,Imidazole and triazole derivatives
sertaconazole,Imidazole and triazole derivatives
fluconazole,Imidazole and triazole derivatives
flutrimazole,Imidazole and triazole derivatives
eberconazole,Imidazole and triazole derivatives
luliconazole,Imidazole and triazole derivatives
efinaconazole,Imidazole and triazole derivatives
imidazoles/triazoles in combination with corticosteroids,Imidazole and triazole derivatives
"miconazole, combinations",Imidazole and triazole derivatives
"bifonazole, combinations",Imidazole and triazole derivatives
bromochlorosalicylanilide,Other antifungals for topical use
methylrosaniline,Other antifungals for topical use
tribromometacresol,Other antifungals for topical use
undecylenic acid,Other antifungals for topical use
2-(4-chlorphenoxy)-ethanol,Other antifungals for topical use
chlorphenesin,Other antifungals for topical use
ticlatone,Other antifungals for topical use
sulbentine,Other antifungals for topical use
ethyl hydroxybenzoate,Other antifungals for topical use
haloprogin,Other antifungals for topical use
salicylic acid,Other antifungals for topical use
selenium sulfide,Other antifungals for topical use
ciclopirox,Other antifungals for topical use
terbinafine,Other antifungals for topical use
amorolfine,Other antifungals for topical use
dimazole,Other antifungals for topical use
tolnaftate,Other antifungals for topical use
tolciclate,Other antifungals for topical use
flucytosine,Other antifungals for topical use
naftifine,Other antifungals for topical use
butenafine,Other antifungals for topical use
tavaborole,Other antifungals for topical use
"undecylenic acid, combinations",Other antifungals for topical use
fosravuconazole,Antifungals for systemic use
"carbamide, combinations",Carbamide products
aminobenzoic acid,Protectives against UV-radiation for topical use
octinoxate,Protectives against UV-radiation for topical use
afamelanotide,Protectives against UV-radiation for systemic use
cadexomer iodine,Other cicatrizants
dextranomer,Other cicatrizants
hyaluronic acid,Other cicatrizants
crilanomer,Other cicatrizants
enoxolone,Other cicatrizants
sodium chlorite,Other cicatrizants
trolamine,Other cicatrizants
betulae cortex,Other cicatrizants
centella asiatica herba,Other cicatrizants
collagenase,Proteolytic enzymes
bromelains,Proteolytic enzymes
"collagenase, combinations",Proteolytic enzymes
thonzylamine,Antihistamines for topical use
mepyramine,Antihistamines for topical use
thenalidine,Antihistamines for topical use
tripelennamine,Antihistamines for topical use
chloropyramine,Antihistamines for topical use
promethazine,Antihistamines for topical use
tolpropamine,Antihistamines for topical use
dimetindene,Antihistamines for topical use
clemastine,Antihistamines for topical use
bamipine,Antihistamines for topical use
pheniramine,Antihistamines for topical use
isothipendyl,Antihistamines for topical use
diphenhydramine,Antihistamines for topical use
diphenhydramine methylbromide,Antihistamines for topical use
chlorphenoxamine,Antihistamines for topical use
oxybuprocaine,Anesthetics for topical use
quinisocaine,Anesthetics for topical use
doxepin,Other antipruritics
dithranol,Antracen derivatives
"dithranol, combinations",Antracen derivatives
trioxysalen,Psoralens for topical use
methoxsalen,Psoralens for topical use
fumaric acid,Other antipsoriatics for topical use
calcipotriol,Other antipsoriatics for topical use
tacalcitol,Other antipsoriatics for topical use
tazarotene,Other antipsoriatics for topical use
"calcipotriol, combinations",Other antipsoriatics for topical use
tazarotene and ulobetasol,Other antipsoriatics for topical use
bergapten,Psoralens for systemic use
etretinate,Retinoids for treatment of psoriasis
acitretin,Retinoids for treatment of psoriasis
"fumaric acid derivatives, combinations",Other antipsoriatics for systemic use
demeclocycline,Tetracycline and derivatives
oxytetracycline,Tetracycline and derivatives
fusidic acid,Other antibiotics for topical use
chloramphenicol,Other antibiotics for topical use
bacitracin,Other antibiotics for topical use
gentamicin,Other antibiotics for topical use
tyrothricin,Other antibiotics for topical use
mupirocin,Other antibiotics for topical use
virginiamycin,Other antibiotics for topical use
amikacin,Other antibiotics for topical use
retapamulin,Other antibiotics for topical use
ozenoxacin,Other antibiotics for topical use
silver sulfadiazine,Sulfonamides
sulfathiazole,Sulfonamides
mafenide,Sulfonamides
sulfanilamide,Sulfonamides
sulfamerazine,Sulfonamides
"silver sulfadiazine, combinations",Sulfonamides
idoxuridine,Antivirals
tromantadine,Antivirals
aciclovir,Antivirals
podophyllotoxin,Antivirals
inosine,Antivirals
penciclovir,Antivirals
lysozyme,Antivirals
ibacitabine,Antivirals
edoxudine,Antivirals
imiquimod,Antivirals
docosanol,Antivirals
sinecatechins,Antivirals
"aciclovir, combinations",Antivirals
ingenol mebutate,Other chemotherapeutics
tirbanibulin,Other chemotherapeutics
methylprednisolone,"Corticosteroids, weak (group I)"
clobetasone,"Corticosteroids, moderately potent (group II)"
hydrocortisone butyrate,"Corticosteroids, moderately potent (group II)"
flumetasone,"Corticosteroids, moderately potent (group II)"
fluocortin,"Corticosteroids, moderately potent (group II)"
fluperolone,"Corticosteroids, moderately potent (group II)"
fluprednidene,"Corticosteroids, moderately potent (group II)"
desonide,"Corticosteroids, moderately potent (group II)"
alclometasone,"Corticosteroids, moderately potent (group II)"
hydrocortisone buteprate,"Corticosteroids, moderately potent (group II)"
clocortolone,"Corticosteroids, moderately potent (group II)"
combinations of corticosteroids,"Corticosteroids, moderately potent (group II)"
fluclorolone,"Corticosteroids, potent (group III)"
desoximetasone,"Corticosteroids, potent (group III)"
diflucortolone,"Corticosteroids, potent (group III)"
fludroxycortide,"Corticosteroids, potent (group III)"
diflorasone,"Corticosteroids, potent (group III)"
amcinonide,"Corticosteroids, potent (group III)"
halometasone,"Corticosteroids, potent (group III)"
mometasone,"Corticosteroids, potent (group III)"
methylprednisolone aceponate,"Corticosteroids, potent (group III)"
hydrocortisone aceponate,"Corticosteroids, potent (group III)"
fluticasone,"Corticosteroids, potent (group III)"
prednicarbate,"Corticosteroids, potent (group III)"
difluprednate,"Corticosteroids, potent (group III)"
ulobetasol,"Corticosteroids, potent (group III)"
clobetasol,"Corticosteroids, very potent (group IV)"
halcinonide,"Corticosteroids, very potent (group IV)"
prednisolone and antiseptics,"Corticosteroids, weak, combinations with antiseptics"
hydrocortisone and antiseptics,"Corticosteroids, weak, combinations with antiseptics"
flumetasone and antiseptics,"Corticosteroids, moderately potent, combinations with antiseptics"
desonide and antiseptics,"Corticosteroids, moderately potent, combinations with antiseptics"
triamcinolone and antiseptics,"Corticosteroids, moderately potent, combinations with antiseptics"
hydrocortisone butyrate and antiseptics,"Corticosteroids, moderately potent, combinations with antiseptics"
betamethasone and antiseptics,"Corticosteroids, potent, combinations with antiseptics"
fluocinolone acetonide and antiseptics,"Corticosteroids, potent, combinations with antiseptics"
fluocortolone and antiseptics,"Corticosteroids, potent, combinations with antiseptics"
diflucortolone and antiseptics,"Corticosteroids, potent, combinations with antiseptics"
hydrocortisone and antibiotics,"Corticosteroids, weak, combinations with antibiotics"
methylprednisolone and antibiotics,"Corticosteroids, weak, combinations with antibiotics"
prednisolone and antibiotics,"Corticosteroids, weak, combinations with antibiotics"
triamcinolone and antibiotics,"Corticosteroids, moderately potent, combinations with antibiotics"
fluprednidene and antibiotics,"Corticosteroids, moderately potent, combinations with antibiotics"
fluorometholone and antibiotics,"Corticosteroids, moderately potent, combinations with antibiotics"
dexamethasone and antibiotics,"Corticosteroids, moderately potent, combinations with antibiotics"
flumetasone and antibiotics,"Corticosteroids, moderately potent, combinations with antibiotics"
betamethasone and antibiotics,"Corticosteroids, potent, combinations with antibiotics"
fluocinolone acetonide and antibiotics,"Corticosteroids, potent, combinations with antibiotics"
fludroxycortide and antibiotics,"Corticosteroids, potent, combinations with antibiotics"
beclometasone and antibiotics,"Corticosteroids, potent, combinations with antibiotics"
fluocinonide and antibiotics,"Corticosteroids, potent, combinations with antibiotics"
fluocortolone and antibiotics,"Corticosteroids, potent, combinations with antibiotics"
clobetasol and antibiotics,"Corticosteroids, very potent, combinations with antibiotics"
aminoacridine,Acridine derivatives
euflavine,Acridine derivatives
dibrompropamidine,Biguanides and amidines
propamidine,Biguanides and amidines
hexamidine,Biguanides and amidines
polihexanide,Biguanides and amidines
"chlorhexidine, combinations",Biguanides and amidines
hexachlorophene,Phenol and derivatives
policresulen,Phenol and derivatives
triclosan,Phenol and derivatives
chloroxylenol,Phenol and derivatives
biphenylol,Phenol and derivatives
iodine/octylphenoxypolyglycolether,Iodine products
povidone-iodine,Iodine products
iodine,Iodine products
diiodohydroxypropane,Iodine products
dequalinium,Quinoline derivatives
chlorquinaldol,Quinoline derivatives
clioquinol,Quinoline derivatives
benzalkonium,Quaternary ammonium compounds
cetrimonium,Quaternary ammonium compounds
cetrimide,Quaternary ammonium compounds
didecyldimethylammonium chloride,Quaternary ammonium compounds
benzethonium chloride,Quaternary ammonium compounds
decamethoxine,Quaternary ammonium compounds
"octenidine, combinations",Quaternary ammonium compounds
"benzethonium chloride, combinations",Quaternary ammonium compounds
"dodeclonium bromide, combinations",Quaternary ammonium compounds
mercuric amidochloride,Mercurial products
phenylmercuric borate,Mercurial products
mercuric chloride,Mercurial products
merbromin,Mercurial products
"mercury, metallic",Mercurial products
thiomersal,Mercurial products
mercuric iodide,Mercurial products
silver nitrate,Silver compounds
silver,Silver compounds
eosin,Other antiseptics and disinfectants
propanol,Other antiseptics and disinfectants
tosylchloramide sodium,Other antiseptics and disinfectants
isopropanol,Other antiseptics and disinfectants
potassium permanganate,Other antiseptics and disinfectants
sodium hypochlorite,Other antiseptics and disinfectants
ethanol,Other antiseptics and disinfectants
"propanol, combinations",Other antiseptics and disinfectants
framycetin,Medicated dressings with antiinfectives
phenylmercuric nitrate,Medicated dressings with antiinfectives
benzododecinium,Medicated dressings with antiinfectives
