drug_name,category
camylofin,"Synthetic anticholinergics, esters with tertiary amino group"
mebeverine,"Synthetic anticholinergics, esters with tertiary amino group"
trimebutine,"Synthetic anticholinergics, esters with tertiary amino group"
rociverine,"Synthetic anticholinergics, esters with tertiary amino group"
dicycloverine,"Synthetic anticholinergics, esters with tertiary amino group"
dihexyverine,"Synthetic anticholinergics, esters with tertiary amino group"
difemerine,"Synthetic anticholinergics, esters with tertiary amino group"
piperidolate,"Synthetic anticholinergics, esters with tertiary amino group"
benzilone,"Synthetic anticholinergics, quaternary ammonium compounds"
glycopyrronium bromide,"Synthetic anticholinergics, quaternary ammonium compounds"
oxyphenonium,"Synthetic anticholinergics, quaternary ammonium compounds"
penthienate,"Synthetic anticholinergics, quaternary ammonium compounds"
propantheline,"Synthetic anticholinergics, quaternary ammonium compounds"
otilonium bromide,"Synthetic anticholinergics, quaternary ammonium compounds"
methantheline,"Synthetic anticholinergics, quaternary ammonium compounds"
tridihexethyl,"Synthetic anticholinergics, quaternary ammonium compounds"
isopropamide,"Synthetic anticholinergics, quaternary ammonium compounds"
hexocyclium,"Synthetic anticholinergics, quaternary ammonium compounds"
poldine,"Synthetic anticholinergics, quaternary ammonium compounds"
mepenzolate,"Synthetic anticholinergics, quaternary ammonium compounds"
bevonium,"Synthetic anticholinergics, quaternary ammonium compounds"
pipenzolate,"Synthetic anticholinergics, quaternary ammonium compounds"
diphemanil,"Synthetic anticholinergics, quaternary ammonium compounds"
(2-benzhydryloxyethyl)diethyl-methylammonium iodide,"Synthetic anticholinergics, quaternary ammonium compounds"
tiemonium iodide,"Synthetic anticholinergics, quaternary ammonium compounds"
prifinium bromide,"Synthetic anticholinergics, quaternary ammonium compounds"
timepidium bromide,"Synthetic anticholinergics, quaternary ammonium compounds"
fenpiverinium,"Synthetic anticholinergics, quaternary ammonium compounds"
"oxyphenonium, combinations","Synthetic anticholinergics, quaternary ammonium compounds"
dimethylaminopropionylphenothiazine,"Synthetic antispasmodics, amides with tertiary amines"
nicofetamide,"Synthetic antispasmodics, amides with tertiary amines"
tiropramide,"Synthetic antispasmodics, amides with tertiary amines"
papaverine,Papaverine and derivatives
drotaverine,Papaverine and derivatives
moxaverine,Papaverine and derivatives
alosetron,Serotonin receptor antagonists
cilansetron,Serotonin receptor antagonists
fenpiprane,Other drugs for functional gastrointestinal disorders
diisopromine,Other drugs for functional gastrointestinal disorders
chlorbenzoxamine,Other drugs for functional gastrointestinal disorders
pinaverium,Other drugs for functional gastrointestinal disorders
fenoverine,Other drugs for functional gastrointestinal disorders
idanpramine,Other drugs for functional gastrointestinal disorders
proxazole,Other drugs for functional gastrointestinal disorders
alverine,Other drugs for functional gastrointestinal disorders
trepibutone,Other drugs for functional gastrointestinal disorders
isometheptene,Other drugs for functional gastrointestinal disorders
caroverine,Other drugs for functional gastrointestinal disorders
phloroglucinol,Other drugs for functional gastrointestinal disorders
